,FECHA_ENT
355,2019-09-03
356,2019-10-03
357,2019-10-03
358,2019-10-03
359,2019-10-03
360,2019-10-03
361,2019-10-02
362,2019-10-02
363,2019-10-03
364,2019-10-04
365,2019-09-25
366,2019-10-04
367,2019-09-25
368,2019-09-26
369,2019-10-04
370,2019-09-12
371,2019-10-04
372,2019-10-04
373,2019-10-04
374,2019-09-30
375,2019-10-04
376,2019-09-24
377,2019-09-25
378,2019-10-04
379,2019-09-26
380,2019-10-04
381,2019-10-04
382,2019-10-04
383,2019-10-04
384,2019-10-04
385,2019-09-13
386,2019-10-04
387,2019-10-03
388,2019-10-04
389,2019-10-04
390,2019-10-04
391,2019-09-25
392,2019-10-04
393,2019-09-24
394,2019-10-04
395,2019-10-04
396,2019-10-01
397,2019-10-07
398,2019-09-09
399,2019-10-07
400,2019-10-07
401,2019-10-07
402,2019-10-07
403,2019-09-04
404,2019-10-07
405,2019-10-01
406,2019-09-24
407,2019-10-07
408,2019-10-04
409,2019-10-08
410,2019-10-08
411,2019-10-08
412,2019-10-04
413,2019-10-08
414,2019-09-20
415,2019-10-08
416,2019-10-08
417,2019-10-08
418,2019-10-08
419,2019-10-08
420,2019-10-08
421,2019-10-08
422,2019-10-09
423,2019-10-09
424,2019-10-09
425,2019-10-01
426,2019-10-09
427,2019-10-09
428,2019-10-04
429,2019-10-04
430,2019-10-04
431,2019-10-04
432,2019-10-09
433,2019-10-09
434,2019-10-09
435,2019-09-27
436,2019-10-03
437,2019-10-04
438,2019-10-04
439,2019-10-10
440,2019-10-10
441,2019-10-10
442,2019-09-10
443,2019-09-10
444,2019-10-03
445,2019-10-04
446,2019-10-10
447,2019-10-10
448,2019-10-10
449,2019-10-10
450,2019-10-10
451,2019-10-10
452,2019-10-10
453,2019-10-04
454,2019-10-07
455,2019-10-10
456,2019-10-10
457,2019-10-11
458,2019-10-11
459,2019-09-30
460,2019-10-11
461,2019-10-11
462,2019-10-11
463,2019-10-11
464,2019-10-02
465,2019-10-11
466,2019-10-11
467,2019-09-30
468,2019-10-11
469,2019-10-11
470,2019-10-08
471,2019-10-11
472,2019-10-11
473,2019-10-11
474,2019-09-26
475,2019-10-11
476,2019-09-26
477,2019-10-07
478,2019-09-30
479,2019-10-02
480,2019-10-14
481,2019-10-09
482,
483,2019-10-04
484,2019-10-14
485,2019-10-14
486,2019-10-15
487,2019-10-15
488,2019-10-15
489,2019-10-04
490,2019-10-08
491,2019-10-15
492,2019-10-15
493,2019-10-15
494,2019-10-15
495,2019-10-09
496,2019-10-08
497,2019-10-15
498,2019-10-09
499,2019-10-07
500,2019-10-16
501,2019-10-16
502,2019-10-16
503,2019-10-17
504,2019-10-16
505,2019-10-11
506,2019-10-03
507,2019-10-16
508,2019-10-16
509,2019-10-16
510,2019-10-04
511,2019-10-04
512,2019-10-17
513,2019-10-17
514,2019-10-17
515,2019-10-17
516,2019-10-17
517,2019-10-17
518,2019-10-09
519,2019-10-11
520,2019-10-08
521,2019-10-07
522,2019-10-02
523,2019-10-02
524,2019-10-17
525,2019-10-17
526,2019-10-11
527,2019-10-17
528,2019-10-17
529,2019-10-15
530,2019-10-17
531,2019-10-17
532,2019-10-14
533,2019-10-15
534,2019-10-04
535,2019-10-09
536,2019-10-18
537,2019-10-18
538,2019-10-14
539,2019-10-02
540,2019-10-14
541,2019-10-18
542,2019-10-18
543,2019-10-09
544,2019-10-18
545,2019-10-18
546,2019-10-18
547,2019-10-08
548,2019-10-18
549,2019-10-21
550,2019-10-07
551,2019-10-04
552,2019-10-21
553,2019-10-21
554,2019-10-21
555,2019-10-21
556,2019-10-21
557,2019-10-21
558,2019-10-21
559,2019-10-21
560,2019-10-21
561,2019-10-21
562,2019-10-24
563,2019-10-22
564,2019-10-11
565,2019-10-22
566,2019-10-22
567,2019-10-22
568,2019-10-08
569,2019-10-22
570,2019-10-22
571,2019-10-14
572,2019-10-23
573,2019-10-23
574,2019-10-23
575,2019-10-23
